source	written	edition	confidence	basis	attributed	note
pg-24525.txt	1910		medium	intext	Edmond Privat	uncorroborated in-text year
pg-24575.txt	1890		medium	intext	František Vladimír Lorenc	uncorroborated in-text year
pg-24763.txt			none	no evidence	Eugen Wüster	
pg-25311.txt	1896		medium	intext	V. Stankiević	uncorroborated in-text year
pg-25386.txt			none	no evidence	Lehman Wendell	
pg-25539.txt			none	no evidence	Samuel Meyer	
pg-25964.txt			none	no evidence	Vilho Setälä	
pg-26099.txt	1937		medium	intext	František Omelka	uncorroborated in-text year
pg-26359.txt	1920		medium	intext	Edmond Privat	uncorroborated in-text year
pg-26480.txt			none	no evidence	Odd Tangerud	
pg-26959.txt	1921		medium	intext		uncorroborated in-text year
pg-27170.txt			none	no evidence	Odd Tangerud	
pg-27593.txt	1993		medium	intext	Jorge Camacho	uncorroborated in-text year
pg-27915.txt			none	no evidence	Frederik Skeel-Giørling	
pg-28720.txt			none	no evidence	The Esperantist	
pg-28721.txt			none	no evidence	The Esperantist	
pg-28968.txt			none	no evidence	Hilma Hall	
pg-28971.txt	2009		medium	intext	Barack Obama	uncorroborated in-text year
pg-29403.txt			none	no evidence	The Esperantist	
pg-30536.txt			none	no evidence	Eugène Noël	
pg-30991.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-30992.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-31348.txt			none	no evidence	Donald Broadribb	
pg-32035.txt	1908		medium	intext	Various	uncorroborated in-text year
pg-32313.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-32314.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-32480.txt	1952		medium	intext	František Omelka	uncorroborated in-text year
pg-34042.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-34043.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-35743.txt	1908		medium	intext	August von Kotzebue	uncorroborated in-text year
pg-35917.txt			none	no evidence	Maria Posenaer	
pg-35981.txt			none	no evidence	Bénédict Papot	
pg-37279.txt			none	no evidence	L. L. Zamenhof	
pg-37642.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-37643.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-37644.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-37977.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-37978.txt	1904		medium	intext	The Esperantist	uncorroborated in-text year
pg-39840.txt	1905		medium	intext	The Esperantist	uncorroborated in-text year
pg-39841.txt	1905		medium	intext	The Esperantist	uncorroborated in-text year
pg-39842.txt	1905		medium	intext	The Esperantist	uncorroborated in-text year
pg-42028.txt			none	no evidence	A. Rivier	
pg-42774.txt	1921		medium	intext	K. Kalocsay	uncorroborated in-text year
pg-44128.txt			none	no evidence	The Esperantist	
pg-44130.txt			none	no evidence	The Esperantist	
pg-44131.txt			none	no evidence	The Esperantist	
pg-44666.txt			none	no evidence	The Esperantist	
pg-44667.txt			none	no evidence	The Esperantist	
pg-44668.txt			none	no evidence	The Esperantist	
pg-45612.txt			none	no evidence	Lehman Wendell	
pg-45713.txt			none	no evidence	Leon Zamenhof	
pg-47249.txt	1907		medium	intext	Leandro Fernández de Moratín	uncorroborated in-text year
pg-47259.txt	1921		medium	intext		uncorroborated in-text year
pg-47855.txt	1903		medium	intext	Paul Fruictier	uncorroborated in-text year
pg-47913.txt			none	no evidence	D. H. Lambert	
pg-48033.txt			none	no evidence		
pg-48896.txt	1908		medium	intext	Roman Frenkel	uncorroborated in-text year
pg-48900.txt			none	no evidence	Wouter F. Pilger	
pg-49232.txt			none	no evidence	The Esperantist	
pg-49233.txt	1906		medium	intext	The Esperantist	uncorroborated in-text year
pg-49234.txt	1905		medium	intext	The Esperantist	uncorroborated in-text year
pg-51069.txt			none	no evidence	František Omelka	
pg-51690.txt			none	no evidence	G. Vaillant	
pg-52062.txt	1922		medium	intext	Literatura Mondo	uncorroborated in-text year
pg-52063.txt	1922		medium	intext	Literatura Mondo	uncorroborated in-text year
pg-52064.txt	1922		medium	intext	Literatura Mondo	uncorroborated in-text year
pg-52111.txt	1922		medium	intext	Nuno Baena	uncorroborated in-text year
pg-52556.txt	1908		medium	intext	R. Anton	uncorroborated in-text year
pg-52577.txt	1892		medium	intext	V. N. Devjatnin	uncorroborated in-text year
pg-52876.txt			none	no evidence	Joseph Evrot	
pg-55302.txt			none	no evidence	Maria Ŝidlovskaja	
pg-55574.txt	1912		medium	intext	Ned Katryn	uncorroborated in-text year
pg-55954.txt	1922		medium	intext	Heinrich August Luyken	uncorroborated in-text year
pg-56351.txt			none	no evidence	Venancio Da Silva	
pg-57184.txt	1921		medium	intext		uncorroborated in-text year
pg-60429.txt			none	no evidence	Benno Küster	
pg-61103.txt			none	no evidence	Ivy Kellerman Reed	
pg-61190.txt			none	no evidence	Alexander Pride	
pg-61579.txt			none	no evidence	A. Muller	
pg-61581.txt	1907		medium	intext	Anonymous	uncorroborated in-text year
pg-61860.txt			none	no evidence	L. L. Zamenhof	
pg-62118.txt			none	no evidence	Bronisław Kuhl	
pg-62394.txt			none	no evidence	René de Saussure	
pg-62511.txt			none	no evidence	Albert Frank Milward	
pg-63064.txt			none	no evidence	H. J. Bulthuis	
pg-63105.txt			none	no evidence	Andreo Fiŝer	
pg-63926.txt			none	no evidence	Eugen Wüster	
pg-64579.txt	1923		medium	intext	H. J. Bulthuis	uncorroborated in-text year
pg-65835.txt			none	no evidence	Gaston Moch	
pg-65958.txt			none	no evidence	L. L. Zamenhof	
pg-66037.txt			none	no evidence	Alexandra Mexin	
pg-68874.txt	1923		high	pg-header	Hendrik Coenraad Mees	
pg-68878.txt	1924		high	pg-header	Tojosato Tooguu	
pg-68879.txt	1924		high	pg-header	Paul Benoit	
pg-69123.txt	1924		high	pg-header	Jean Forge	
pg-71836.txt	1903		high	pg-header	Achille Motteau	
pg-74344.txt	1904		high	pg-header	Emile Boirac	
pg-74405.txt	1924		high	pg-header	Nikolao Hohlov	
pg-75983.txt	1889		high	pg-header	Antoni Grabowski	
pg-76273.txt	1906		high	pg-header	Henri Vallienne	
pg-76310.txt	1910		high	pg-header	L. Milho	
pg-7787.txt			none	no evidence	Ivy Kellerman Reed	
pg-78054.txt	1911		high	pg-header	E. W. Weems	
pg-8177.txt			none	no evidence	Helen Fryer	
pg-8224.txt	1905		medium	intext	L. L. Zamenhof	uncorroborated in-text year
wsdump-Bulthuis_Inferio_1938.txt	1938	1938	high	filename	Bulthuis	
wsdump-Grabowski_El_Parnaso_de_Popoloj_1913.txt	1913	1913	high	filename	Grabowski	
wsdump-Homero_Iliado_1896_Kofman.txt	1896	1896	high	filename	Homero	
wsdump-Kabe_Vortaro_de_Esperanto_1922.txt	1922	1922	high	filename	Kabe	
wsdump-Lanti_El_verkoj_de_E_Lanti_1982_II.txt		1982	none	filename-edition-only	Lanti	collection: edition 1982 says nothing about composition
wsdump-Lanti_El_verkoj_de_E_Lanti_1985_III.txt		1985	none	filename-edition-only	Lanti	collection: edition 1985 says nothing about composition
wsdump-Lanti_El_verkoj_de_E_Lanti_1991_I.txt		1991	none	filename-edition-only	Lanti	collection: edition 1991 says nothing about composition
wsdump-Lanti_Naciismo_1930.txt	1930	1930	medium	filename	Lanti	disagrees with intext
wsdump-Luyken_Mirinda_amo_1913.txt	1913	1913	high	filename	Luyken	
wsdump-Molière_Don_Juan_1906_Boirac.txt	1906	1906	high	filename	Molière	
wsdump-Prus_Pekoj_de_l_infaneco_1913_Grabowski.txt	1913	1913	high	filename	Prus	
wsdump-Prévost_Manon_Lescaut_1908_Vallienne.txt	1908	1908	high	filename	Prévost	
wsdump-Rossetti_Cezaro_Kredu_min_Sinjorino_1950.txt	1950	1950	high	filename	Rossetti	
wsdump-Sienkiewikz_Quo_vadis_1934_Zamenhof_I.txt	1934	1934	high	filename	Sienkiewikz	
wsdump-Sienkiewikz_Quo_vadis_1934_Zamenhof_II.txt	1934	1934	high	filename	Sienkiewikz	
wsdump-Vallienne_Kastelo_de_Prelongo_1907.txt	1907	1907	high	filename	Vallienne	
wsdump-Vallienne_Ĉu_li_1908.txt	1908	1908	medium	filename	Vallienne	disagrees with intext
wsdump-Verkoj_de_FeZ_1935.txt		1935	none	filename-edition-only	Verkoj	collection: edition 1935 says nothing about composition
wsdump-Voltaire_Tri_Verkoj_de_Volter_1956_Lanti.txt		1956	none	filename-edition-only	Voltaire	collection: edition 1956 says nothing about composition
wsdump-Zakrzewski_Historio_de_Esperanto_1913.txt	1913	1913	medium	filename	Zakrzewski	disagrees with intext
wsdump-Zamenhof_Dietterle_Originala_Verkaro_1929.txt		1929	none	filename-edition-only	Zamenhof	collection: edition 1929 says nothing about composition
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_Antaŭparolo.txt			none	no evidence	Dua	
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_I.txt	1888		medium	intext	Dua	uncorroborated in-text year
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_II.txt			none	no evidence	Dua	
wsrc-Dua_Libro_de_l'_Lingvo_Internacia_III.txt			none	no evidence	Dua	
wsrc-Fabeloj_de_Andersen_(Zamenhof).txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Abio.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Anĝelo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Avineto.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Bildo_el_kastelremparo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Cikonioj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Dano_Holger.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Dio_de_Dormo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_El_fenestro_en_Vartou.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Elfo_de_la_rozo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Elinjo-Fingreto.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Fajrilo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Feliĉa_familio.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Flikilo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Floroj_de_la_malgranda_Ida.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Fluganta_Kofro.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Galoŝoj_de_feliĉo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Gefianĉoj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Guto_da_akvo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Knabineto_kun_alumetoj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Konkurso_de_Saltado.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Kupra_porko.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_malbela_anasido.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_najtingalo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_novaj_vestoj_de_la_Reĝo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_La_virineto_de_maro.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Lekanto.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ligo_de_Amikeco.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malbonkonduta_knabo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malgranda_Niko_kaj_granda_Niko.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malgranda_Tuk.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malnova_domo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Malnova_strata_lanterno.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Monteto_de_elfoj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Najbaraj_familioj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Neĝa_Reĝino.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ombro.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Paŝtistino_kaj_kamentubisto.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Paŝtisto_de_porkoj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Persista_stana_soldato.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Poligono.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Reĝidino_sur_pizo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Rozo_de_la_tombo_de_Homero.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ruĝaj_ŝuoj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Sambura_virineto.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Sonorilo.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Sovaĝaj_cignoj.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Vojkamarado.txt			none	no evidence	Fabeloj	
wsrc-Fabeloj_de_Andersen_(Zamenhof)_Ĝardeno_de_la_paradizo.txt			none	no evidence	Fabeloj	
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_fratoj.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_historio_de_la_provoj_de_lingvoj_tutmondaj_de_Leibnitz_ĝis_la_nuna_tempo.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_memoro_de_Józef_Wasniewski.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamenta_Krestomatio_(1903)_Al_la_reĝo.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamenta_Krestomatio_(1903)_Alaŭdeto.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamenta_Krestomatio_(1903)_Aleksandro_Macedona.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamenta_Krestomatio_(1903)_El_la_unua_libro_de_la_lingvo_Esperanto.txt		1903	none	filename-edition-only	Fundamenta	collection: edition 1903 says nothing about composition
wsrc-Fundamento_de_Esperanto.txt	1905		medium	intext	Fundamento	uncorroborated in-text year
wsrc-Fundamento_de_Esperanto_Antaŭparolo.txt	1905		medium	intext	Fundamento	uncorroborated in-text year
wsrc-Fundamento_de_Esperanto_Ekzercaro.txt			none	no evidence	Fundamento	
wsrc-Fundamento_de_Esperanto_Grammar.txt			none	no evidence	Fundamento	
wsrc-Fundamento_de_Esperanto_Universala_vortaro.txt			none	no evidence	Fundamento	
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro.txt			none	no evidence	Malnova	
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_1.txt			none	no evidence	Malnova	
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_10.txt			none	no evidence	Malnova	
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_100.txt			none	no evidence	Malnova	
wsrc-Malnova_Testamento_(Zamenhof)_Psalmaro_101.txt			none	no evidence	Malnova	
wsrc-Originala_Verkaro.txt			none	intext	Originala	single uncorroborated intext year 1887
wsrc-Originala_Verkaro_Aldono.txt			none	no evidence	Originala	
wsrc-Originala_Verkaro_Antaŭparolo.txt			none	intext	Originala	single uncorroborated intext year 1907
wsrc-Originala_Verkaro_Enhavo.txt			none	no evidence	Originala	
wsrc-Originala_Verkaro_I.txt			none	intext	Originala	single uncorroborated intext year 1887
wsrc-Originala_Verkaro_I_1.txt			none	intext	Originala	single uncorroborated intext year 1887
wsrc-Originala_Verkaro_I_10.txt			none	intext	Originala	single uncorroborated intext year 1907
wsrc-Originala_Verkaro_I_11.txt			none	intext	Originala	single uncorroborated intext year 1908
wsrc-Originala_Verkaro_I_12.txt			none	intext	Originala	single uncorroborated intext year 1909
